CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
589,1,23,14,39,39,14,3,9,2,2519,39
1338,2,24,30,63,73,44,26,16,2,2489,102
129016,3,180,560,1111,1134,604,189,405,10,1929,1213
129328,4,4,4,44,132,608,192,406,10,1925,1257
147924,5,63,317,520,658,925,257,652,16,1608,1777
173349,6,42,302,837,1179,1227,347,857,23,1306,2614
176160,7,26,3,143,456,1230,348,859,23,1303,2757
178660,8,17,110,196,326,1340,402,913,25,1193,2953
192425,9,84,79,215,422,1419,436,943,40,1114,3168
194156,10,13,16,122,448,1435,452,943,40,1098,3290
195238,11,12,41,112,301,1476,473,963,40,1057,3402
195340,12,3,0,23,39,1476,473,963,40,1057,3425
